"Name","Location","Type","Namespace","Source","Reference Count","Offcut Ref Count"
"switchdataD_82051f48","82051f48","Data Label","switchD_82306c24","Analysis","0","0"
"switchdataD_82051f68","82051f68","Data Label","switchD_82306f18","Analysis","1","0"
"switchdataD_82051f88","82051f88","Data Label","switchD_82310f40","Analysis","0","0"
"switchdataD_82052050","82052050","Data Label","switchD_82311af0","Analysis","0","0"
"switchdataD_82053828","82053828","Data Label","switchD_8231ae5c","Analysis","0","0"
"switchdataD_82053890","82053890","Data Label","switchD_8231afb0","Analysis","0","0"
"switchdataD_820538a0","820538a0","Data Label","switchD_823210d0","Analysis","0","0"
"switchdataD_820538c0","820538c0","Data Label","switchD_82320d48","Analysis","0","0"
"switchdataD_82053918","82053918","Data Label","switchD_823200e8","Analysis","0","0"
"switchdataD_82056110","82056110","Data Label","switchD_82334c00","Analysis","1","0"
"switchdataD_82057fa8","82057fa8","Data Label","switchD_82348b70","Analysis","0","0"
"switchdataD_82058010","82058010","Data Label","switchD_82348bd8","Analysis","0","0"
"switchdataD_82058078","82058078","Data Label","switchD_82348dd4","Analysis","0","0"
"switchdataD_8205e278","8205e278","Data Label","switchD_8235827c","Analysis","0","0"
"switchdataD_8205e290","8205e290","Data Label","switchD_82353a4c","Analysis","0","0"
"switchdataD_820681c0","820681c0","Data Label","switchD_823a26d0","Analysis","0","0"
"switchdataD_8206a5b0","8206a5b0","Data Label","switchD_823a5ab8","Analysis","0","0"
"switchdataD_8206a648","8206a648","Data Label","switchD_823a73c0","Analysis","0","0"
"switchdataD_82072b60","82072b60","Data Label","switchD_823f5728","Analysis","0","0"
"switchdataD_82072bd0","82072bd0","Data Label","switchD_823f54d8","Analysis","0","0"
"switchdataD_82072be0","82072be0","Data Label","switchD_823f63b8","Analysis","0","0"
"switchdataD_82072c50","82072c50","Data Label","switchD_823f61b4","Analysis","0","0"
"switchdataD_82072c60","82072c60","Data Label","switchD_823f6f04","Analysis","0","0"
"switchdataD_82072cd0","82072cd0","Data Label","switchD_823f6d00","Analysis","0","0"
"switchdataD_82072d98","82072d98","Data Label","switchD_823f8f78","Analysis","1","0"
"switchdataD_82072eb0","82072eb0","Data Label","switchD_823fabd4","Analysis","1","0"
"switchdataD_82072ec0","82072ec0","Data Label","switchD_823fcde0","Analysis","0","0"
"switchdataD_82072f98","82072f98","Data Label","switchD_823feddc","Analysis","0","0"
"switchdataD_82073008","82073008","Data Label","switchD_823feb8c","Analysis","0","0"
"switchdataD_82073c70","82073c70","Data Label","switchD_82406f98","Analysis","1","0"
"Function_82090000","82090000","Function","Global","Analysis","2","0"
"Function_82090070","82090070","Function","Global","Analysis","0","0"
"Function_820900A8","820900a8","Instruction Label","Global","Analysis","0","0"
"Function_82090108","82090108","Instruction Label","Global","Analysis","0","0"
"Function_82090158","82090158","Instruction Label","Global","Analysis","0","0"
"Function_820901B0","820901b0","Instruction Label","Global","Analysis","0","0"
"Function_82090248","82090248","Function","Global","Analysis","0","0"
"Function_82090420","82090420","Function","Global","Analysis","2","0"
"Function_82090518","82090518","Function","Global","Analysis","1","0"
"Function_82090618","82090618","Function","Global","Analysis","2","0"
"Function_82090708","82090708","Function","Global","Analysis","2","0"
"Function_820907D8","820907d8","Function","Global","Analysis","1","0"
"Function_82090870","82090870","Function","Global","Analysis","1","0"
"Function_82090930","82090930","Function","Global","Analysis","2","0"
"Function_82090998","82090998","Function","Global","Analysis","0","0"
"Function_82090B90","82090b90","Function","Global","Analysis","0","0"
"Function_82091220","82091220","Data Label","Global","Analysis","0","0"
"Function_820914C0","820914c0","Function","Global","Analysis","2","0"
"Function_82091518","82091518","Function","Global","Analysis","15","0"
"Function_820915A8","820915a8","Function","Global","Analysis","1","0"
"Function_82091658","82091658","Function","Global","Analysis","1","0"
"Function_82091770","82091770","Instruction Label","Global","Analysis","1","0"
"Function_82091858","82091858","Function","Global","Analysis","1","0"
"Function_820918B0","820918b0","Function","Global","Analysis","1","0"
"Function_820918F0","820918f0","Function","Global","Analysis","0","0"
"Function_820919A0","820919a0","Function","Global","Analysis","1","0"
"Function_82091AA8","82091aa8","Function","Global","Analysis","1","0"
"Function_82091B90","82091b90","Instruction Label","Global","Analysis","1","0"
"Function_82091BC0","82091bc0","Function","Global","Analysis","1","0"
"Function_82091CA8","82091ca8","Function","Global","Analysis","1","0"
"Function_82091D18","82091d18","Function","Global","Analysis","1","0"
"Function_82091DA0","82091da0","Data Label","Global","Analysis","0","0"
"Function_82091E60","82091e60","Function","Global","Analysis","1","0"
"FUN_82091fb8","82091fb8","Function","Global","Default","3","0"
"Function_82091FC8","82091fc8","Function","Global","Analysis","1","0"
"Function_82092030","82092030","Function","Global","Analysis","1","0"
"Function_820920A8","820920a8","Function","Global","Analysis","1","0"
"Function_820921E8","820921e8","Function","Global","Analysis","1","0"
"Function_82092300","82092300","Function","Global","Analysis","1","0"
"Function_82092618","82092618","Instruction Label","Global","Analysis","1","0"
"Function_820926E8","820926e8","Function","Global","Analysis","1","0"
